TRAM,Rang,geometry_wkt
T20016S,25-30 µg/m³,"MULTILINESTRING ((2.1568370690555967 41.372135379067295, 2.1567265989493754 41.37202545282121, 2.156729373820288 41.37162509683542))"
T01346B,20-25 µg/m³,"MULTILINESTRING ((2.164581707332471 41.380403346106405, 2.1640154836677103 41.380375322034))"
T20218A,25-30 µg/m³,"MULTILINESTRING ((2.122101222310226 41.38698887732542, 2.1220502108518207 41.3870920927807, 2.1220628902907475 41.387300190861275, 2.122100128090963 41.38745199007971, 2.122159423676611 41.387558235326566, 2.1222332715964836 41.38762472423851))"
T09490O,20-25 µg/m³,"MULTILINESTRING ((2.2090707064318544 41.41390081473246, 2.2085190586004946 41.41435013715502))"
T04836A,20-25 µg/m³,"MULTILINESTRING ((2.156325560633654 41.42403496438041, 2.156266786046693 41.42402689535659, 2.156041950247381 41.42391920263288))"
T03700H,25-30 µg/m³,"MULTILINESTRING ((2.1719646753443613 41.372345198407835, 2.171810908134086 41.3724444187613, 2.1707556037060827 41.37274623397164))"
T16869W,20-25 µg/m³,"MULTILINESTRING ((2.1051532901104144 41.38949694126502, 2.1050680089382556 41.38952660673678, 2.1049525831545104 41.38953729322294))"
T12574U,20-25 µg/m³,"MULTILINESTRING ((2.1661746404169495 41.435137174413825, 2.1660720133264695 41.43489215807405))"
T05832A,20-25 µg/m³,"MULTILINESTRING ((2.1879851857338224 41.42128202563381, 2.1875295636713035 41.421656675162815))"
T04793G,20-25 µg/m³,"MULTILINESTRING ((2.156507402527772 41.42451808791508, 2.1560716000305673 41.424282168538745))"
T06025H,20-25 µg/m³,"MULTILINESTRING ((2.1886607703077385 41.4327450626192, 2.18746664930784 41.43286302529885))"
T17868Z,25-30 µg/m³,"MULTILINESTRING ((2.1674795789091545 41.413517853347365, 2.1678107485396385 41.4136244278975))"
T20171C,25-30 µg/m³,"MULTILINESTRING ((2.1707976707611416 41.381786359220705, 2.1707034926986633 41.381771034800266, 2.170188894498445 41.38156798213761))"
T05043F,20-25 µg/m³,"MULTILINESTRING ((2.1621043372365927 41.41401197952435, 2.1629435838724316 41.41430646722465))"
T20906R,20-25 µg/m³,"MULTILINESTRING ((2.1903250736913327 41.38879752607895, 2.1914799584499596 41.389641295615576))"
T08793W,20-25 µg/m³,"MULTILINESTRING ((2.191202781462515 41.41081478863796, 2.1917664614277275 41.41160281282285))"
T21272K,20-25 µg/m³,"MULTILINESTRING ((2.2042258293687023 41.437723000802414, 2.2041818299299414 41.438380880477375))"
T20352F,20-25 µg/m³,"MULTILINESTRING ((2.1185435922706217 41.38439082039752, 2.1186940519059783 41.384430479155135, 2.11857823507782 41.38468633381976, 2.1191304745189607 41.38483112184836, 2.11907350777412 41.38495977271013, 2.119547973148109 41.38508244477419))"
T07990V,15-20 µg/m³,"MULTILINESTRING ((2.1586754441004943 41.407731521661205, 2.158560723890233 41.40785360857363))"
T01527E,20-25 µg/m³,"MULTILINESTRING ((2.179377194496966 41.38305071876379, 2.1794665323615314 41.383008947887674, 2.1795652459731474 41.382855811545525, 2.1796356271731057 41.38272453273331, 2.179708934282263 41.38266309210938))"
T18597Z,15-20 µg/m³,"MULTILINESTRING ((2.137407084419174 41.40731045984727, 2.137783532713077 41.40706088973872))"
T02171A,20-25 µg/m³,"MULTILINESTRING ((2.1550899743940857 41.39159878563531, 2.15394245783081 41.39246718736438))"
T10206R,20-25 µg/m³,"MULTILINESTRING ((2.1944170608683775 41.39528724865688, 2.1933362515756816 41.39608654897689))"
T00885T,20-25 µg/m³,"MULTILINESTRING ((2.174322600654394 41.387287012326745, 2.1748204966119142 41.38758119998756))"
T20930R,25-30 µg/m³,"MULTILINESTRING ((2.1164468235360383 41.403529617309324, 2.1166196510134587 41.403640780640714))"
T05082M,20-25 µg/m³,"MULTILINESTRING ((2.154433022521165 41.42543891854603, 2.1521261265269924 41.42446213618878))"
T02838U,25-30 µg/m³,"MULTILINESTRING ((2.135433143435625 41.370246635967234, 2.135243623435923 41.371084823701025))"
T12098N,20-25 µg/m³,"MULTILINESTRING ((2.18174658902297 41.43020104734565, 2.180820324079313 41.4302157904364))"
T02407B,20-25 µg/m³,"MULTILINESTRING ((2.1518976898749935 41.37499633005445, 2.149702496762691 41.37500193163852))"
T01783S,20-25 µg/m³,"MULTILINESTRING ((2.1482754403540736 41.3813692584585, 2.1471898568624517 41.382187412302244))"
T01530Z,20-25 µg/m³,"MULTILINESTRING ((2.177963606634838 41.38332570720215, 2.178065104096535 41.383257704208305, 2.178198623869867 41.383162591787276, 2.1784113981377544 41.38299730851705))"
T10897C,15-20 µg/m³,"MULTILINESTRING ((2.1174461882573854 41.397075093806826, 2.1170238026845567 41.39711021845814, 2.1166420165075013 41.39714094211431, 2.116319869557507 41.39741327080163, 2.1162352230377572 41.39745751448502, 2.1161556342774412 41.39751252485156))"
T20369O,20-25 µg/m³,"MULTILINESTRING ((2.1941227463117587 41.4107197045186, 2.1946784765236225 41.41113183021726))"
T19184M,25-30 µg/m³,"MULTILINESTRING ((2.184391767091778 41.428317421519644, 2.184160034091071 41.428655730463824))"
T19376S,20-25 µg/m³,"MULTILINESTRING ((2.2045346596598714 41.407112062046956, 2.2039620325509737 41.407565064468265))"
T18622J,15-20 µg/m³,"MULTILINESTRING ((2.12758081344481 41.4022300302116, 2.1268681522951343 41.40294179541296))"
T00271V,25-30 µg/m³,"MULTILINESTRING ((2.183731508861785 41.38308669151618, 2.1837644492063824 41.38289788387685, 2.18369697125938 41.38274484496915, 2.183546528657962 41.38262726600233, 2.1832618045968295 41.38257751609518))"
T10470F,20-25 µg/m³,"MULTILINESTRING ((2.1446443744783177 41.39777407451127, 2.143836675216962 41.397193537401584))"
T09103Q,20-25 µg/m³,"MULTILINESTRING ((2.189867286510106 41.400305311143164, 2.1904159141524784 41.400719488697135))"
T08860Q,20-25 µg/m³,"MULTILINESTRING ((2.185530562740731 41.414583578289964, 2.184755360371511 41.41516989306767))"
T10372E,15-20 µg/m³,"MULTILINESTRING ((2.149781669456439 41.398336340047756, 2.1492694812240636 41.39877604131912))"
T10680N,20-25 µg/m³,"MULTILINESTRING ((2.130113438996398 41.398021092906355, 2.1311325181488106 41.39861468873466))"
T20427H,20-25 µg/m³,"MULTILINESTRING ((2.190758488346532 41.443009360619385, 2.189233086928876 41.442954690283784))"
T19924Y,20-25 µg/m³,"MULTILINESTRING ((2.1706998524945584 41.41392606292516, 2.1728905144318094 41.41555459175661))"
T10740I,20-25 µg/m³,"MULTILINESTRING ((2.121898832326285 41.39731979435515, 2.121991686498756 41.39722266303091, 2.12212179163095 41.39706766325874, 2.1222181294202596 41.396981853703416))"
T07261V,20-25 µg/m³,"MULTILINESTRING ((2.13292636250051 41.38822469780957, 2.1334082427655887 41.388734268197844))"
T18813O,20-25 µg/m³,"MULTILINESTRING ((2.116668747649996 41.395533048342806, 2.1163086403999865 41.395620729482715, 2.1157939346565366 41.395777300727765))"
T12205Y,20-25 µg/m³,"MULTILINESTRING ((2.1750003146864056 41.43217487178491, 2.1746203812876193 41.43246112592556))"
T20069F,20-25 µg/m³,"MULTILINESTRING ((2.1398082362287605 41.406818590594675, 2.1403727070653615 41.40683641650605))"
T00389I,20-25 µg/m³,"MULTILINESTRING ((2.1794674844220427 41.38121169034407, 2.1797614218639145 41.38116511660967, 2.1800108071258264 41.38109591323296))"
